nazev,delka,sirka,datumdo,vyska,biotop,kodbiotopu,samec,samice,juv,ex
Paradoxurus hermaphroditus,12.51,50.23,25.2.1995,679,les,301,3,5,0,0
Tiliqua scincoides,17.43,49.65,14.2.1942,1006,nahodny biotop,24,3,0,0,0
Spizaetus coronatus,12.69,49.17,21.10.1981,1178,les,301,4,2,0,0
Bison bison,16.09,49.67,7.2.2005,716,slatiny,217,3,2,0,0
Felis pardalis,17.13,51.15,14.12.1920,1052,nahodny biotop,24,1,0,0,0
Haliaeetus leucoryphus,16.31,49.83,11.8.1923,829,xerotermni tentononc,310,0,5,0,0
Perameles nasuta,16.55,48.67,24.12.2013,821,louka,202,5,3,0,0
Macaca nemestrina,12.63,49.89,30.1.1959,591,lidska obydli,200,4,4,0,0
Corallus hortulanus cooki,13.59,50.69,1.3.1945,723,slatiny,217,0,0,0,0
Rana sp.,17.85,49.93,19.6.2012,976,xerotermni tentononc,310,3,1,0,0
Psophia viridis,15.55,50.55,22.6.1982,1052,bazina,369,3,2,0,0
Columba livia,17.55,49.73,7.9.1954,680,nahodny biotop,24,4,5,0,0
Sitta canadensis,15.91,50.29,14.12.2014,622,nahodny biotop,24,3,5,0,0
Phacochoerus aethiopus,17.83,48.63,15.1.1930,875,doubravy,206,1,1,0,0
Phalaropus fulicarius,16.21,50.27,18.2.1946,1197,biotop a,326,4,5,0,0
Paraxerus cepapi,17.69,50.39,30.3.1930,673,Skalní stepi na vápensových podkladech,215,5,0,0,0
Carduelis pinus,17.61,49.03,9.8.1966,760,slatiny,217,0,4,0,0
Aonyx cinerea,15.03,48.97,23.2.1983,509,suťové lesy,327,1,5,0,0
Callipepla gambelii,17.35,50.47,14.5.1991,736,slatiny,217,4,3,0,0
Junonia genoveua,18.79,48.81,29.9.2018,807,xerotermni tentononc,310,3,1,0,0
Mustela nigripes,13.81,49.87,10.1.1938,763,slatiny,217,2,1,0,0
Pteronura brasiliensis,13.41,50.25,10.12.1960,541,bazina,369,2,3,0,0
Echimys chrysurus,17.29,51.19,17.4.1991,912,louka,202,5,2,0,0
Carphophis sp.,15.79,49.33,21.8.1950,1137,suťové lesy,327,3,2,0,0
Lophoaetus occipitalis,12.95,50.97,10.12.1976,1019,slatiny,217,5,4,0,0
Dusicyon thous,13.87,50.53,8.8.1939,742,mocaly,207,2,4,0,0
Calyptorhynchus magnificus,15.99,49.31,3.8.2006,841,nahodny biotop,24,1,1,0,0
Coluber constrictor,15.81,50.59,25.7.1946,711,Skalní stepi na vápensových podkladech,215,4,5,0,0
Callorhinus ursinus,18.57,50.87,23.7.1937,958,slatiny,217,2,0,0,0
Merops nubicus,18.67,48.71,5.4.1953,1036,slatiny,217,1,2,0,0
Dicrostonyx groenlandicus,13.13,50.85,15.10.1947,767,biotop b,7,5,0,0,0
Streptopelia decipiens,18.19,49.17,20.9.1972,912,Skalní stepi na vápensových podkladech,215,1,4,0,0
Ara ararauna,12.35,48.41,16.8.1913,521,biotop a,326,0,3,0,0
Hippotragus equinus,17.15,51.19,12.3.1993,888,Skalní stepi na vápensových podkladech,215,4,4,0,0
Mabuya spilogaster,17.53,49.81,6.2.1956,582,bazina,369,0,4,0,0
Erinaceus frontalis,16.87,50.03,24.10.1960,1128,biotop b,7,3,0,0,0
Acrobates pygmaeus,12.91,50.77,11.12.1908,1132,skály nižších a středních výšek,308,3,3,0,0
Megaderma spasma,16.47,50.55,14.9.1933,1064,bazina,369,1,5,0,0
Pitangus sulphuratus,13.07,49.63,9.9.1942,778,mocaly,207,2,2,0,0
Canis aureus,17.89,50.73,29.6.2018,904,louka,202,4,2,0,0
Haliaetus vocifer,17.23,49.55,22.3.1956,934,biotop b,7,5,4,0,0
Panthera pardus,18.63,50.59,23.5.1991,871,slatiny,217,1,5,0,0
Numida meleagris,15.75,50.91,14.6.1915,1128,skály nižších a středních výšek,308,2,1,0,0
Lamprotornis chalybaeus,12.21,50.17,14.2.2003,718,lidska obydli,200,2,0,0,0
Trichoglossus chlorolepidotus,12.37,48.47,21.12.1903,870,slatiny,217,3,0,0,0
Libellula quadrimaculata,12.53,48.41,5.11.1938,1038,louka,202,5,5,0,0
Anathana ellioti,13.83,51.19,18.10.1909,501,doubravy,206,3,3,0,0
Coluber constrictor foxii,16.15,49.37,14.2.1904,798,biotop b,7,1,1,0,0
Passer domesticus,16.77,48.55,7.11.1970,568,biotop b,7,1,4,0,0
Phascolarctos cinereus,17.63,50.95,8.1.1932,1167,bazina,369,2,0,0,0
Gabianus pacificus,12.33,50.61,29.10.2017,551,biotop b,7,2,4,0,0
Felis concolor,15.05,49.29,13.10.1917,1082,slatiny,217,1,2,0,0
Gabianus pacificus,18.61,50.91,15.1.1928,548,bazina,369,1,5,0,0
Naja haje,14.91,50.77,23.6.1981,932,nahodny biotop,24,3,1,0,0
Martes americana,16.87,51.01,14.9.1941,1123,bazina,369,5,5,0,0
Epicrates cenchria maurus,14.33,48.57,18.3.1912,680,bazina,369,2,4,0,0
Zosterops pallidus,16.71,48.75,6.5.1957,567,nahodny biotop,24,1,1,0,0
Macropus fuliginosus,12.37,50.89,14.4.1968,599,slatiny,217,3,3,0,0
Colaptes campestroides,15.99,50.01,30.7.2014,667,nahodny biotop,24,3,2,0,0
Papilio canadensis,16.81,48.85,26.8.1915,829,Skalní stepi na vápensových podkladech,215,4,1,0,0
Phoeniconaias minor,14.03,49.03,14.2.2006,798,xerotermni tentononc,310,4,3,0,0
Felis concolor,14.39,49.57,29.8.1935,656,Skalní stepi na vápensových podkladech,215,2,2,0,0
Macropus rufogriseus,12.19,50.79,14.11.1916,515,nahodny biotop,24,0,5,0,0
Mellivora capensis,15.95,50.95,18.3.1935,671,xerotermni tentononc,310,1,3,0,0
Dusicyon thous,12.27,49.33,23.8.1910,639,slatiny,217,0,4,0,0
Nesomimus trifasciatus,14.59,48.47,19.8.1901,915,nahodny biotop,24,0,2,0,0
Streptopelia decipiens,12.19,50.57,20.9.1904,1097,biotop a,326,1,1,0,0
Butorides striatus,14.67,51.07,24.11.1955,756,doubravy,206,3,5,0,0
Larus dominicanus,12.47,48.97,3.3.1916,698,suťové lesy,327,0,0,0,0
Pan troglodytes,14.85,51.19,6.12.1968,811,doubravy,206,1,2,0,0
Mustela nigripes,14.87,50.83,26.5.1926,760,doubravy,206,3,3,0,0
Canis aureus,18.35,49.89,7.11.1995,640,xerotermni tentononc,310,5,4,0,0
Anthropoides paradisea,14.79,50.05,6.4.1934,1070,slatiny,217,0,3,0,0
Lamprotornis chalybaeus,17.31,50.75,27.11.1964,604,skály nižších a středních výšek,308,1,5,0,0
Chlidonias leucopterus,12.61,49.31,19.9.2014,1019,slatiny,217,0,1,0,0
Caiman crocodilus,18.43,50.85,27.12.2010,584,Skalní stepi na vápensových podkladech,215,0,2,0,0
Zenaida asiatica,15.79,48.45,30.3.1954,1011,doubravy,206,5,0,0,0
Libellula quadrimaculata,12.67,50.11,1.4.1994,509,les,301,3,3,0,0
Vulpes chama,14.51,48.79,30.9.1916,1046,louka,202,4,5,0,0
Phascogale calura,12.03,50.29,13.1.1969,538,bazina,369,5,5,0,0
Crotalus cerastes,12.71,51.17,19.7.2005,623,biotop a,326,3,0,0,0
Tamiasciurus hudsonicus,18.09,49.43,13.3.1983,1052,slatiny,217,3,4,0,0
Paroaria gularis,15.27,48.61,30.7.1955,1165,slatiny,217,0,1,0,0
Cebus apella,14.19,49.35,1.3.1928,1122,lidska obydli,200,4,3,0,0
Ploceus rubiginosus,12.03,48.53,10.12.1917,1126,Skalní stepi na vápensových podkladech,215,3,3,0,0
Choloepus hoffmani,16.81,49.53,9.4.1990,606,les,301,4,2,0,0
Psophia viridis,12.81,50.27,11.6.1932,725,biotop a,326,3,5,0,0
Macaca mulatta,13.09,50.91,22.7.1907,624,suťové lesy,327,2,1,0,0
Phalacrocorax carbo,17.95,50.61,21.3.1913,573,biotop a,326,5,3,0,0
Panthera pardus,17.69,49.57,9.7.1956,876,nahodny biotop,24,4,4,0,0
Pelecans onocratalus,12.93,51.01,29.6.2007,608,Skalní stepi na vápensových podkladech,215,4,4,0,0
Pteronura brasiliensis,14.29,50.73,10.3.1929,670,skály nižších a středních výšek,308,5,2,0,0
Climacteris melanura,12.09,49.03,31.12.1981,1050,biotop a,326,5,2,0,0
Callorhinus ursinus,14.67,48.51,26.12.1929,1088,biotop a,326,4,5,0,0
Marmota caligata,17.05,49.27,21.7.1973,787,biotop a,326,2,4,0,0
Capreolus capreolus,16.69,50.65,31.12.1970,1035,suťové lesy,327,4,4,0,0
Passer domesticus,15.79,50.33,14.6.2011,768,biotop b,7,5,3,0,0
Felis wiedi or Leopardus weidi,16.79,48.73,17.11.1930,1160,doubravy,206,1,0,0,0
Butorides striatus,12.59,49.69,10.4.1977,662,lidska obydli,200,0,4,0,0
Limosa haemastica,16.97,50.15,3.7.2012,934,xerotermni tentononc,310,2,2,0,0
Macropus eugenii,14.93,49.87,8.5.1919,862,biotop b,7,5,3,0,0
Phalacrocorax carbo,17.89,50.71,29.2.1924,577,skály nižších a středních výšek,308,5,2,0,0
Gazella granti,17.37,50.59,15.10.1960,910,suťové lesy,327,1,0,0,0
Pelecans onocratalus,14.93,48.73,10.6.2003,868,louka,202,3,1,0,0
Picoides pubescens,18.61,48.87,24.8.1926,732,nahodny biotop,24,0,5,0,0
Galictis vittata,17.31,51.17,19.3.1989,1115,doubravy,206,4,2,0,0
Lama glama,16.47,48.95,13.10.1911,923,doubravy,206,2,4,0,0
Cercopithecus aethiops,13.73,48.77,24.6.1914,1107,biotop a,326,1,1,0,0
Macropus fuliginosus,16.61,49.25,17.9.2020,849,skály nižších a středních výšek,308,3,2,0,0
Fratercula corniculata,12.15,49.35,1.5.1945,926,suťové lesy,327,0,3,0,0
Macaca mulatta,13.05,51.15,24.12.1997,1041,bazina,369,0,5,0,0
Tamiasciurus hudsonicus,14.61,49.71,1.5.2014,778,Skalní stepi na vápensových podkladech,215,2,2,0,0
Macropus giganteus,12.41,49.55,25.6.1984,950,lidska obydli,200,3,0,0,0
Notechis semmiannulatus,18.37,50.01,16.6.1979,929,Skalní stepi na vápensových podkladech,215,5,2,0,0
Varanus sp.,16.51,50.31,5.9.1994,777,slatiny,217,1,0,0,0
Ictalurus furcatus,17.33,49.23,26.5.1990,625,louka,202,0,0,0,0
Neophron percnopterus,16.99,48.45,31.5.1907,892,doubravy,206,1,2,0,0
Bubalus arnee,18.45,50.15,10.5.1976,859,skály nižších a středních výšek,308,5,4,0,0
Centrocercus urophasianus,17.21,48.91,10.1.1903,1122,mocaly,207,3,5,0,0
Irania gutteralis,18.05,51.19,30.11.1961,1006,nahodny biotop,24,0,4,0,0
Platalea leucordia,13.79,49.35,1.4.1901,1044,doubravy,206,0,5,0,0
Columba palumbus,14.55,50.71,5.5.1977,648,doubravy,206,5,4,0,0
Halcyon smyrnesis,15.33,48.55,23.1.1983,706,nahodny biotop,24,0,2,0,0
Castor fiber,16.95,51.11,23.6.2001,1114,lidska obydli,200,0,0,0,0
Lepilemur rufescens,15.25,50.57,3.5.1980,909,nahodny biotop,24,2,1,0,0
Ratufa indica,17.67,51.13,6.7.1960,1094,lidska obydli,200,2,0,0,0
Alcelaphus buselaphus caama,15.63,50.03,16.3.1924,510,bazina,369,2,4,0,0
Pseudalopex gymnocercus,15.93,50.95,15.3.1911,721,slatiny,217,2,2,0,0
Didelphis virginiana,13.01,50.91,29.10.1949,1100,lidska obydli,200,3,3,0,0
Ninox superciliaris,15.27,48.49,22.2.1904,1073,les,301,2,5,0,0
Marmota monax,16.89,50.37,17.8.1947,965,mocaly,207,2,3,0,0
Phalacrocorax carbo,13.47,51.03,15.12.1985,561,bazina,369,0,5,0,0
Francolinus swainsonii,16.61,48.93,14.1.1985,713,bazina,369,3,2,0,0
Cervus elaphus,18.49,48.93,20.2.1939,587,skály nižších a středních výšek,308,1,4,0,0
Dicrurus adsimilis,15.75,51.11,17.1.2015,1186,Skalní stepi na vápensových podkladech,215,5,1,0,0
Psittacula krameri,12.15,50.21,6.1.1975,525,lidska obydli,200,1,2,0,0
Felis chaus,12.67,50.05,28.6.1953,526,suťové lesy,327,1,2,0,0
Junonia genoveua,17.63,49.29,21.5.1956,847,les,301,5,0,0,0
Larus dominicanus,17.07,51.21,10.4.1949,822,lidska obydli,200,3,1,0,0
Plocepasser mahali,12.13,50.89,11.5.1936,1195,biotop a,326,5,4,0,0
Pytilia melba,15.75,50.63,13.5.1952,1184,doubravy,206,5,1,0,0
Pycnonotus nigricans,18.83,49.71,8.4.1995,1157,suťové lesy,327,3,2,0,0
Lepus townsendii,15.61,49.41,28.3.2021,927,nahodny biotop,24,2,1,0,0
Phoenicopterus chilensis,15.47,50.67,3.9.1968,698,slatiny,217,0,2,0,0
Amazona sp.,18.91,50.43,11.9.1943,1145,louka,202,0,2,0,0
Axis axis,17.27,50.15,30.4.2002,1114,biotop a,326,2,3,0,0
Mirounga leonina,14.01,48.43,2.11.1949,598,Skalní stepi na vápensových podkladech,215,5,1,0,0
Centrocercus urophasianus,14.47,51.09,22.6.1925,608,lidska obydli,200,5,0,0,0
Geochelone elegans,18.31,49.29,8.2.1983,756,biotop b,7,1,2,0,0
Lamprotornis superbus,16.17,48.69,28.9.1947,558,doubravy,206,2,4,0,0
Bucorvus leadbeateri,14.01,50.35,12.3.1996,973,lidska obydli,200,2,4,0,0
Scolopax minor,12.97,48.65,31.8.1992,716,nahodny biotop,24,0,1,0,0
Phalacrocorax niger,13.99,48.43,6.7.1943,1020,bazina,369,5,3,0,0
Phascogale tapoatafa,16.39,50.57,17.12.1937,544,slatiny,217,4,1,0,0
Gerbillus sp.,14.27,48.55,5.4.1975,734,suťové lesy,327,5,1,0,0
Ctenophorus ornatus,18.01,50.87,6.10.2018,598,biotop a,326,5,2,0,0
unavailable,13.37,48.87,6.6.1933,734,biotop a,326,1,1,0,0
Ictonyx striatus,16.25,48.69,25.8.1900,622,nahodny biotop,24,0,4,0,0
Alectura lathami,14.19,48.73,10.10.1975,542,Skalní stepi na vápensových podkladech,215,0,2,0,0
Coluber constrictor,16.39,50.61,8.3.1922,1198,skály nižších a středních výšek,308,1,5,0,0
Uraeginthus granatina,15.33,51.21,2.7.1968,983,skály nižších a středních výšek,308,2,0,0,0
Hystrix cristata,13.33,48.73,16.7.1966,578,louka,202,5,2,0,0
Phoca vitulina,16.43,49.43,20.9.1982,932,nahodny biotop,24,4,1,0,0
Microcebus murinus,17.79,48.77,17.6.1920,1081,louka,202,3,2,0,0
Paradoxurus hermaphroditus,17.01,51.15,29.4.1984,845,lidska obydli,200,4,0,0,0
Gymnorhina tibicen,15.57,50.19,13.11.1987,580,lidska obydli,200,0,0,0,0
Ciconia episcopus,13.79,50.77,3.4.2015,871,biotop a,326,4,2,0,0
Papio cynocephalus,14.89,49.11,3.1.1979,788,suťové lesy,327,5,1,0,0
Ovis canadensis,17.95,48.63,3.3.1926,826,xerotermni tentononc,310,1,1,0,0
Fregata magnificans,17.59,48.49,7.7.1979,971,louka,202,2,2,0,0
Tamandua tetradactyla,15.17,49.09,1.1.1904,730,doubravy,206,0,5,0,0
Aonyx capensis,14.43,49.87,21.8.1931,692,mocaly,207,3,2,0,0
Lemur catta,16.67,48.83,30.4.1939,638,nahodny biotop,24,3,1,0,0
Mazama americana,15.67,49.59,30.1.2015,985,les,301,3,3,0,0
Madoqua kirkii,12.65,49.17,29.1.1928,916,slatiny,217,3,2,0,0
Diomedea irrorata,14.95,49.25,10.5.1908,507,biotop b,7,1,5,0,0
Cynictis penicillata,18.73,49.63,22.5.1954,599,Skalní stepi na vápensových podkladech,215,3,2,0,0
Leptoptilus dubius,16.43,48.77,15.4.2009,996,louka,202,0,1,0,0
Equus burchelli,18.35,50.29,4.2.1957,1155,biotop a,326,0,1,0,0
Vombatus ursinus,15.01,50.49,21.12.1934,772,bazina,369,3,3,0,0
Toxostoma curvirostre,14.05,51.15,9.3.1922,513,les,301,0,0,0,0
Gekko gecko,17.09,48.65,15.4.1955,1091,slatiny,217,5,2,0,0
Prionace glauca,13.71,50.67,12.7.1927,592,slatiny,217,4,0,0,0
Echimys chrysurus,14.05,49.51,22.1.1953,505,slatiny,217,4,3,0,0
Felis serval,13.67,50.41,28.6.1938,989,biotop b,7,4,3,0,0
Cygnus atratus,17.49,48.45,22.5.1983,668,skály nižších a středních výšek,308,5,4,0,0
unavailable,12.13,51.09,25.10.1997,623,biotop b,7,2,4,0,0
Ardea golieth,18.07,49.57,19.7.1942,542,lidska obydli,200,1,1,0,0
Epicrates cenchria maurus,15.85,49.99,23.9.1944,930,biotop a,326,5,0,0,0
Plocepasser mahali,18.53,49.51,3.7.1917,800,xerotermni tentononc,310,3,1,0,0
Anser anser,17.91,50.03,25.12.1906,793,xerotermni tentononc,310,3,0,0,0
unavailable,13.37,50.45,13.8.1975,524,Skalní stepi na vápensových podkladech,215,1,5,0,0
Phalacrocorax albiventer,13.93,51.05,8.6.1922,822,slatiny,217,1,4,0,0
Canis mesomelas,18.45,50.01,12.7.1978,1161,doubravy,206,5,5,0,0
Hystrix cristata,17.35,49.71,18.12.1931,873,les,301,1,3,0,0
Cacatua tenuirostris,18.45,49.27,9.3.1994,614,skály nižších a středních výšek,308,0,2,0,0
Mazama americana,18.93,50.75,21.8.1901,819,slatiny,217,5,2,0,0
Charadrius tricollaris,15.73,51.17,20.6.2016,744,biotop a,326,5,4,0,0
Merops nubicus,17.63,49.63,22.9.1910,940,biotop b,7,4,2,0,0
Carduelis uropygialis,14.17,50.93,17.7.1925,624,nahodny biotop,24,3,1,0,0
Theropithecus gelada,14.83,48.61,15.4.1910,654,doubravy,206,2,4,0,0
Dendrocitta vagabunda,15.53,50.05,26.7.1922,1130,louka,202,0,2,0,0
Odocoileus hemionus,17.45,49.77,11.1.1962,564,nahodny biotop,24,3,5,0,0
Anitibyx armatus,13.23,49.59,21.4.1983,778,bazina,369,4,5,0,0
Ursus arctos,12.99,48.69,29.9.1965,1026,les,301,5,3,0,0
Butorides striatus,16.55,49.55,29.12.1981,1092,suťové lesy,327,0,0,0,0
Redunca redunca,17.75,50.57,29.8.1922,934,lidska obydli,200,2,3,0,0
Ciconia episcopus,14.87,49.09,11.8.1904,1104,slatiny,217,1,5,0,0
Ateles paniscus,14.25,50.73,28.2.1994,917,slatiny,217,4,3,0,0
Phoenicopterus ruber,13.73,48.55,23.7.1992,954,slatiny,217,2,2,0,0
Canis mesomelas,16.21,48.45,8.1.1961,1097,louka,202,3,1,0,0
Ursus arctos,13.69,48.69,28.7.2017,670,nahodny biotop,24,3,5,0,0
Ciconia ciconia,12.61,50.15,1.10.2021,732,slatiny,217,0,5,0,0
Diomedea irrorata,16.73,50.41,18.1.1961,1158,nahodny biotop,24,0,1,0,0
Snycerus caffer,16.37,50.25,28.3.2004,558,biotop a,326,1,1,0,0
Anthropoides paradisea,15.81,49.89,2.6.1900,953,bazina,369,4,4,0,0
Passer domesticus,18.65,49.63,5.2.1979,643,skály nižších a středních výšek,308,2,0,0,0
Genetta genetta,12.59,48.69,6.11.1988,571,biotop b,7,0,1,0,0
Giraffe camelopardalis,17.53,48.93,29.10.1931,901,bazina,369,1,5,0,0
Naja sp.,18.49,48.55,25.11.1977,1138,lidska obydli,200,4,2,0,0
Potos flavus,18.11,48.75,5.5.1951,1062,suťové lesy,327,1,0,0,0
Panthera pardus,16.75,50.33,3.4.1994,1047,doubravy,206,1,0,0,0
Stercorarius longicausus,15.39,50.69,24.10.1906,679,biotop b,7,3,3,0,0
Petaurus breviceps,12.67,48.81,3.3.1968,610,biotop b,7,3,5,0,0
Aegypius occipitalis,14.71,49.73,2.2.1919,1089,nahodny biotop,24,5,1,0,0
Tenrec ecaudatus,16.71,50.07,12.4.1983,804,doubravy,206,3,0,0,0
unavailable,13.33,50.97,17.7.2014,699,doubravy,206,3,5,0,0
Oryx gazella callotis,18.53,48.67,18.8.1932,736,mocaly,207,5,0,0,0
Lorythaixoides concolor,14.05,48.95,24.2.1924,999,Skalní stepi na vápensových podkladech,215,4,5,0,0
Phalaropus fulicarius,15.17,48.79,18.4.1946,966,Skalní stepi na vápensových podkladech,215,4,2,0,0
Plegadis ridgwayi,17.21,49.65,1.4.1971,904,lidska obydli,200,1,5,0,0
unavailable,18.47,48.79,19.2.1927,828,bazina,369,2,4,0,0
Semnopithecus entellus,15.15,51.13,8.11.1984,664,bazina,369,0,3,0,0
Catharacta skua,12.43,48.73,8.3.1912,732,xerotermni tentononc,310,3,3,0,0
Procyon cancrivorus,14.29,48.75,3.1.1928,1035,biotop a,326,4,5,0,0
Acrantophis madagascariensis,14.65,49.63,8.4.1937,884,bazina,369,0,1,0,0
Bassariscus astutus,13.27,48.41,18.1.1965,620,lidska obydli,200,1,4,0,0
Charadrius tricollaris,12.55,50.45,17.8.1943,918,mocaly,207,1,4,0,0
Macropus robustus,17.25,50.31,21.2.1972,977,doubravy,206,4,1,0,0
Bassariscus astutus,15.53,48.49,2.9.1967,621,Skalní stepi na vápensových podkladech,215,4,4,0,0
Estrilda erythronotos,15.31,50.25,27.1.1930,732,les,301,3,5,0,0
Cracticus nigroagularis,17.83,50.65,3.4.1948,775,biotop a,326,2,3,0,0
Sylvilagus floridanus,12.55,49.63,13.10.1969,634,slatiny,217,3,0,0,0
Eudyptula minor,13.09,49.75,6.8.1987,776,louka,202,0,4,0,0
Tayassu pecari,13.19,48.53,25.1.1962,1186,bazina,369,0,0,0,0
Porphyrio porphyrio,17.83,51.13,10.11.1970,948,lidska obydli,200,2,1,0,0
Lorythaixoides concolor,13.41,49.55,9.1.1989,917,mocaly,207,1,2,0,0
Felis yagouaroundi,12.29,49.29,8.9.2016,700,bazina,369,5,1,0,0
Paradoxurus hermaphroditus,15.67,51.17,13.12.1996,927,louka,202,2,2,0,0
Acinynox jubatus,14.49,49.05,26.5.2004,543,xerotermni tentononc,310,0,2,0,0
Mirounga angustirostris,14.75,48.61,31.7.1911,1079,louka,202,0,1,0,0
Phalacrocorax varius,15.03,49.97,19.10.1979,1123,Skalní stepi na vápensových podkladech,215,5,0,0,0
Plegadis falcinellus,13.35,50.71,9.10.1921,634,louka,202,2,5,0,0
Semnopithecus entellus,14.31,50.35,1.3.1949,1044,Skalní stepi na vápensových podkladech,215,4,3,0,0
Alcelaphus buselaphus caama,15.05,50.69,30.5.1948,798,louka,202,2,4,0,0
Madoqua kirkii,17.29,48.71,10.12.1931,1080,slatiny,217,4,1,0,0
Sciurus vulgaris,18.23,50.09,14.9.1900,732,bazina,369,2,3,0,0
Vulpes chama,16.73,50.83,25.12.1971,940,Skalní stepi na vápensových podkladech,215,1,0,0,0
Ctenophorus ornatus,15.85,50.57,30.10.2018,586,mocaly,207,4,2,0,0
Fulica cristata,13.53,49.55,5.8.1985,852,skály nižších a středních výšek,308,0,4,0,0
Hippopotamus amphibius,16.79,49.77,2.4.1958,1135,doubravy,206,5,4,0,0
Zalophus californicus,14.89,50.39,8.1.2007,703,mocaly,207,3,1,0,0
Charadrius tricollaris,16.21,49.49,6.11.1900,549,bazina,369,5,4,0,0
Paradoxurus hermaphroditus,18.15,49.81,7.5.1962,1103,nahodny biotop,24,4,5,0,0
Mabuya spilogaster,13.35,48.87,12.6.1926,774,nahodny biotop,24,1,5,0,0
Alopex lagopus,16.21,51.05,1.9.1997,1153,doubravy,206,2,3,0,0
Macaca fuscata,12.73,48.95,3.11.1995,986,xerotermni tentononc,310,3,5,0,0
Damaliscus dorcas,13.97,49.23,29.8.1977,607,slatiny,217,2,2,0,0
Nannopterum harrisi,18.13,49.15,1.8.1973,712,nahodny biotop,24,4,5,0,0
Diomedea irrorata,18.21,50.09,24.10.2013,941,doubravy,206,1,1,0,0
Ploceus rubiginosus,18.21,50.47,29.3.2014,600,biotop b,7,2,4,0,0
Dendrocitta vagabunda,13.55,50.35,8.2.1927,625,nahodny biotop,24,2,2,0,0
Ploceus intermedius,17.69,51.11,2.12.1911,706,biotop b,7,2,3,0,0
Alcelaphus buselaphus cokii,15.05,50.51,2.12.1960,719,biotop a,326,4,4,0,0
Anhinga rufa,13.79,51.07,31.12.1952,596,biotop b,7,1,0,0,0
Agkistrodon piscivorus,13.95,49.75,16.4.2003,884,nahodny biotop,24,2,4,0,0
Rhabdomys pumilio,16.25,48.83,23.6.1951,924,bazina,369,0,4,0,0
Cacatua galerita,17.69,50.57,25.4.2003,695,xerotermni tentononc,310,5,5,0,0
Boa caninus,16.13,49.53,14.4.1980,1003,louka,202,3,0,0,0
Marmota caligata,14.95,50.69,12.6.2009,628,suťové lesy,327,5,2,0,0
Anathana ellioti,15.87,51.07,14.6.2001,932,louka,202,0,4,0,0
Varanus sp.,16.33,50.43,15.9.1998,860,Skalní stepi na vápensových podkladech,215,4,4,0,0
Eurocephalus anguitimens,15.85,51.17,9.1.1981,700,biotop a,326,0,2,0,0
Leptoptilus dubius,13.07,50.11,18.11.1918,771,suťové lesy,327,2,1,0,0
Laniarius ferrugineus,17.67,51.19,29.9.1972,579,mocaly,207,1,5,0,0
Macaca nemestrina,14.07,50.67,12.1.1953,690,biotop a,326,1,1,0,0
Sula nebouxii,14.37,49.09,13.1.1935,551,suťové lesy,327,2,4,0,0
Charadrius tricollaris,17.25,49.51,9.1.1990,871,xerotermni tentononc,310,4,3,0,0
Odocoileus hemionus,13.29,50.49,1.12.1979,811,bazina,369,0,4,0,0
Sceloporus magister,14.71,50.91,28.3.1936,902,lidska obydli,200,2,0,0,0
Canis aureus,15.33,48.77,28.2.1912,671,doubravy,206,0,4,0,0
Panthera tigris,15.03,49.05,31.8.1929,797,biotop a,326,0,1,0,0
Dasyurus viverrinus,12.95,49.71,5.4.1972,1000,biotop b,7,1,1,0,0
Tiliqua scincoides,13.13,49.51,5.3.1979,1018,suťové lesy,327,4,1,0,0
Cathartes aura,12.63,50.13,3.10.1996,1187,bazina,369,1,4,0,0
Bos taurus,17.89,49.57,10.11.1957,587,xerotermni tentononc,310,1,0,0,0
Isoodon obesulus,14.67,48.67,8.12.1992,504,mocaly,207,2,4,0,0
Phalacrocorax carbo,16.35,50.31,8.2.1994,1160,suťové lesy,327,1,2,0,0
Dusicyon thous,17.25,50.15,26.5.1941,808,lidska obydli,200,0,3,0,0
Tiliqua scincoides,12.25,49.85,5.4.1942,690,louka,202,4,5,0,0
Connochaetus taurinus,15.85,49.11,10.10.1997,1025,les,301,2,4,0,0
Varanus albigularis,17.21,49.47,11.10.1976,1153,skály nižších a středních výšek,308,2,2,0,0
Felis wiedi or Leopardus weidi,13.75,49.79,15.11.1993,853,skály nižších a středních výšek,308,2,3,0,0
Sylvilagus floridanus,13.55,49.73,12.2.1982,974,skály nižších a středních výšek,308,5,4,0,0
Sula nebouxii,15.47,48.57,8.1.1905,816,bazina,369,0,3,0,0
